totalItems,note_0,Adresas,Įmonės kodas,PVM kodas,Telefonas,El. paštas,note_1,link,note_6
274763,"UAB ""Deviro""","Šimonių g. 8, Ustukių k.",302798450,LT100007172711,+37066695559,autodalys@deviro.lt,Darbo laikas,https://rrr.lt/deviro,
219195,Uždaroji akcinė bendrovė Valvira,"Molėtų g. 84, Utena",184207326,LT842073219,+37069846945,valdas.sveic@gmail.com,Darbo laikas,https://rrr.lt/valvira,
183059,"UAB ""Arauta""","Sodo g. 20, Naciunų k. Biržų raj",300631068,LT100005836012,+37067555635,uabarauta@gmail.com,Darbo laikas,https://rrr.lt/arauta,
120736,"UAB ""Automotodalys""","Virbališkių g. 194 Padainupio km., Kauno r. sav.",304098646,LT100010439118,+37060501890,uab.automotodalys@gmail.com,Darbo laikas,https://rrr.lt/automotodalys,
117120,"Jurturas, UAB","Grikštaičių g. 5 Grikštaičių km., Klaipėdos r.",300069533,LT100001863916,+37061210120,info@jurturas.lt,Darbo laikas,https://rrr.lt/jurturas,
112832,"Autoarka, UAB","Sedos g. 30A, Telšiai",300509096,LT100002030510,+37062104264,sales.autoarka@gmail.com,Darbo laikas,https://rrr.lt/autoarka,
104586,Tadas Raižys,"Raudondvario pl. 101H, Kaunas",1383711,,+37063006199,info@partsdna.com,Darbo laikas,https://rrr.lt/germanypartsonline,
99581,"Franccar, UAB","Mūšos g. 22 G, Pasvalys",303017207,LT100012222910,+37062388618,uabfranccar@gmail.com,Darbo laikas,https://rrr.lt/franccar,
98708,"MB ""Veiverių autodalys""","Belevičių g. 59 Tarpiškių km., Prienų raj. Tarpiškių km.",304839903,LT100011659213,+37063950090,Veiveriuautodalys@gmail.com,Darbo laikas,https://rrr.lt/veiveriu,
94668,"Daviva, UAB","R. Kalantos g. 49, Kauno m. sav.",302600185,LT100007470613,+37065579059,kaunas@daviva.lt,Darbo laikas,https://rrr.lt/daviva,
89234,"Merstoja, UAB","Pramonės g. 7, Telšiai",302664832,LT100006626411,+37065047760,sales@autopublic.org,Darbo laikas,https://rrr.lt/merstoja,
86780,Uždaroji akcinė bendrovė RAMIDONAS,"Pramonės g. 4, Šveicarijos k, Jonavos r.",157033476,LT570334716,+37060302823,ramidonas1@gmail.com,Darbo laikas,https://rrr.lt/ramidonas,
81633,UAB DeVido,"Senojo Kaimo g. 9, Šiaudiniai",302647943,LT100014595815,+37061637822,service.devido@gmail.com,Darbo laikas,https://rrr.lt/laimonas,
77688,"ROTOKSEMA, UAB","Klojimo g. 10, Eigirgalos km.,, Kauno r. sav.",235972480,LT100001045019,+37064166677,export.rotoksema@gmail.com,Darbo laikas,https://rrr.lt/rotoksema,
75099,MB RATUOTAS,"Šlamų k., Pasvalio r.",302997541,LT100007873613,+37062024539,mbratuotas@gmail.com,Darbo laikas,https://rrr.lt/ratuotas,
66010,"UAB ""Ustukas""","Ustukių g. 36, Pasvalio r. sav.",304119688,LT100009770613,+37062628579,info@ustukas.lt,Darbo laikas,https://rrr.lt/ustukas,
65745,"Saumina, MB","Sodų g. 3, Šakiai",305166541,LT100012733211,+37069664217,mbsaumina@gmail.com,Darbo laikas,https://rrr.lt/saumina,
